Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_1,covariates,2025-01-20 12:50:11,152,582,covariates,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,,,
dataset_2,pca,2025-01-20 12:50:11,15,582,pca,migraine,migraine.gz,0,False,2025-01-20 12:50:11,10.0,,,
dataset_3,genotype,2025-01-20 12:50:12,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,snps_50,False,
dataset_4,genotype,2025-01-20 12:50:14,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:14,,snps_50,True,
dataset_5,genotype,2025-01-20 12:50:16,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:16,,snps_50,True,
dataset_6,genotype,2025-01-20 12:50:17,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:17,,snps_50,True,
dataset_7,genotype,2025-01-20 12:50:17,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:17,,snps_50,True,
dataset_8,genotype,2025-01-20 12:50:19,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:19,,snps_50,True,
dataset_9,genotype,2025-01-20 12:50:21,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:21,,snps_50,True,
dataset_10,genotype,2025-01-20 12:50:21,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:21,,snps_50,True,
dataset_11,genotype,2025-01-20 12:50:22,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:22,,snps_50,True,
dataset_12,genotype,2025-01-20 12:50:22,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:22,,snps_200,False,
dataset_13,genotype,2025-01-20 12:50:24,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:24,,snps_200,True,
dataset_14,genotype,2025-01-20 12:50:26,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:26,,snps_200,True,
dataset_15,genotype,2025-01-20 12:50:27,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:27,,snps_200,True,
dataset_16,genotype,2025-01-20 12:50:27,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:27,,snps_200,True,
dataset_17,genotype,2025-01-20 12:50:29,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:29,,snps_200,True,
dataset_18,genotype,2025-01-20 12:50:31,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:31,,snps_200,True,
dataset_19,genotype,2025-01-20 12:50:32,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_200,True,
dataset_20,genotype,2025-01-20 12:50:32,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_200,True,
dataset_21,genotype,2025-01-20 12:50:32,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_500,False,
dataset_22,genotype,2025-01-20 12:50:34,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:34,,snps_500,True,
dataset_23,genotype,2025-01-20 12:50:36,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:36,,snps_500,True,
dataset_24,genotype,2025-01-20 12:50:37,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:37,,snps_500,True,
dataset_25,genotype,2025-01-20 12:50:37,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:37,,snps_500,True,
dataset_26,genotype,2025-01-20 12:50:39,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:39,,snps_500,True,
dataset_27,genotype,2025-01-20 12:50:41,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:41,,snps_500,True,
dataset_28,genotype,2025-01-20 12:50:42,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:41,,snps_500,True,
dataset_29,genotype,2025-01-20 12:50:42,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:42,,snps_500,True,
dataset_30,genotype,2025-01-20 12:50:42,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:42,,snps_1000,False,
dataset_31,genotype,2025-01-20 12:50:44,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:44,,snps_1000,True,
dataset_32,genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,
dataset_33,genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,
dataset_34,genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,
dataset_35,genotype,2025-01-20 12:50:49,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:49,,snps_1000,True,
dataset_36,genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,
dataset_37,genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,
dataset_38,genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,
dataset_39,genotype,2025-01-20 12:50:51,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_5000,False,
dataset_40,genotype,2025-01-20 12:50:54,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:54,,snps_5000,True,
dataset_41,genotype,2025-01-20 12:50:57,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:57,,snps_5000,True,
dataset_42,genotype,2025-01-20 12:50:58,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:58,,snps_5000,True,
dataset_43,genotype,2025-01-20 12:50:58,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:58,,snps_5000,True,
dataset_44,genotype,2025-01-20 12:51:01,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:01,,snps_5000,True,
dataset_45,genotype,2025-01-20 12:51:05,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:04,,snps_5000,True,
dataset_46,genotype,2025-01-20 12:51:05,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:05,,snps_5000,True,
dataset_47,genotype,2025-01-20 12:51:06,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:06,,snps_5000,True,
dataset_48,genotype,2025-01-20 12:51:06,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:06,,snps_10000,False,
dataset_49,genotype,2025-01-20 12:51:10,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:10,,snps_10000,True,
