Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
1,Naive Bayes,{'var_smoothing': 1e-07},0.7487440225618471,0.5550921861281826,0.5867978930702715,0.19365183643366457,0.9119142748863216,0.972515906146179,0.5211364187669324,1.0,0.028260816795000577,0.09659430446426465,0.13533299437658783,migraine,1,"['0', '1', '2', '3', '4']",covariates,2025-01-20 12:50:11,152,582,covariates,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,,,,0.11018437225636513,0.6110675405457959,0.972515906146179,0.9119142748863216
2,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6540219777939391,0.537822651448639,0.5419498234076239,0.11619932634530006,0.8404618741341834,0.9834825326220862,0.5333752827752942,1.0,0.01679487619762431,0.189821966677748,0.10499808651082052,migraine,2,"['0', '1', '2', '3', '4']",pca,2025-01-20 12:50:11,15,582,pca,migraine,migraine.gz,0,False,2025-01-20 12:50:11,10.0,,,,0.07564530289727811,0.7672867042229234,0.9834825326220862,0.8404618741341834
3,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648305313550442,0.6286259877085162,0.6321027178987537,0.019679325841925777,0.9139776828378827,0.9809683616155265,0.6085223103005086,1.0,0.019400868701953705,0.09411861884309874,0.1453353053511058,migraine,3,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:12,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,snps_50,False,,0.2572519754170324,0.8904135316321015,0.9809683616155265,0.9139776828378827
4,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6293722563652326,0.6325858096861933,0.018924507253608835,0.913028925950654,0.9809762823416928,0.609473308427666,1.0,0.019392637722999474,0.09525555168889197,0.1448145937981835,migraine,4,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:14,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:14,,snps_50,True,,0.2587445127304653,0.8946168211155181,0.9809762823416928,0.913028925950654
6,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6483290514417197,0.6289991220368745,0.6323442637924735,0.019329929404845236,0.9135047016818851,0.9810165279733618,0.6089757314917018,1.0,0.01935081773377996,0.09468511564184122,0.14507417777510292,migraine,6,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:17,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:17,,snps_50,True,,0.25799824407374894,0.8923591837295127,0.9810165279733618,0.9135047016818851
7,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6289991220368745,0.6329324990865912,0.019297641581967007,0.9135047016818851,0.9809762823416928,0.6090036420167192,1.0,0.019392637722999453,0.09468511564184122,0.1443928598791192,migraine,7,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:17,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:17,,snps_50,True,,0.25799824407374894,0.8925389819862688,0.9809762823416928,0.9135047016818851
10,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6289991220368745,0.6323442637924734,0.019297641581967007,0.9135047016818851,0.9809762823416925,0.6090036420167192,1.0,0.019392637722999484,0.09468511564184122,0.1450741777751029,migraine,10,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:21,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:21,,snps_50,True,,0.25799824407374894,0.8925389819862688,0.9809762823416925,0.9135047016818851
11,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648288213687241,0.6289991220368745,0.6323442637924735,0.01928909165036652,0.9135047016818851,0.9809841884137345,0.609014745476111,1.0,0.019384422104717552,0.09468511564184116,0.14507417777510292,migraine,11,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:22,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:22,,snps_50,True,,0.25799824407374894,0.8925865932111863,0.9809841884137345,0.9135047016818851
12,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.22718100873817548,0.8613940349821475,0.9887416883020219,0.5526644826050559,1.0,0.011386504514957893,0.1609088981220135,0.13004340890782798,migraine,12,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:22,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:22,,snps_200,False,,0.39255487269534695,0.5206318170457627,0.9887416883020219,0.8613940349821475
13,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.22718100873817548,0.8613940349821475,0.9887416883020219,0.5526644826050559,1.0,0.011386504514957893,0.1609088981220135,0.13004340890782798,migraine,13,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:24,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:24,,snps_200,True,,0.39255487269534695,0.5206318170457627,0.9887416883020219,0.8613940349821475
