Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
1,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9083189857463084,0.6125109745390693,0.7008298826777087,0.2958080112072391,0.9045382079019656,0.9862122156013408,0.43485387494149,1.0,0.0139805451408367,0.1055364950469626,0.1179297644274375,migraine,1,"Folds: ['0', '1', '2', '3', '4']",covariates,2025-01-20 12:50:11,152,582,covariates,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,,,,0.0312774363476733,0.2522415148564702,0.9862122156013408,0.9045382079019656
2,CatBoost,"{'iterations': 100, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3}",0.9519914164037148,0.6069973661106234,0.6097622092315187,0.3449940502930914,0.9216755252276896,0.9813725256205648,0.4086575650826943,1.0,0.018981043276768,0.0849805301632166,0.1352526461469871,migraine,2,"Folds: ['0', '1', '2', '3', '4']",pca,2025-01-20 12:50:11,15,582,pca,migraine,migraine.gz,0,False,2025-01-20 12:50:11,10.0,,,,0.0174934152765585,0.1227463592886587,0.9813725256205648,0.9216755252276896
3,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648305313550442,0.6286259877085162,0.6321027178987537,0.0196793258419257,0.9139776828378828,0.9809683616155264,0.5696258434931216,1.0,0.0194008687019537,0.0941186188430987,0.1453353053511058,migraine,3,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:12,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,snps_50,False,,0.0715649692712905,0.8816182037409082,0.9809683616155264,0.9139776828378828
4,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6293722563652326,0.6325858096861933,0.0189245072536088,0.913028925950654,0.9809762823416928,0.5707189390592411,1.0,0.0193926377229994,0.0952555516888919,0.1448145937981835,migraine,4,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:14,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:14,,snps_50,True,,0.0734306409130816,0.8861588460907768,0.9809762823416928,0.913028925950654
6,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6483290514417197,0.6289991220368745,0.6323442637924735,0.0193299294048452,0.9135047016818852,0.9810165279733618,0.5701478094332315,1.0,0.0193508177337799,0.0946851156418412,0.1450741777751029,migraine,6,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:17,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:17,,snps_50,True,,0.0724978050921862,0.8837200124187239,0.9810165279733618,0.9135047016818852
7,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6289991220368745,0.6329324990865912,0.019297641581967,0.9135047016818852,0.9809762823416928,0.5701786060529392,1.0,0.0193926377229994,0.0946851156418412,0.1443928598791192,migraine,7,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:17,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:17,,snps_50,True,,0.0724978050921862,0.8839142411489315,0.9809762823416928,0.9135047016818852
10,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6289991220368745,0.6323442637924734,0.019297641581967,0.9135047016818852,0.9809762823416924,0.5701786060529391,1.0,0.0193926377229994,0.0946851156418412,0.1450741777751029,migraine,10,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:21,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:21,,snps_50,True,,0.0724978050921862,0.8839142411489315,0.9809762823416924,0.9135047016818852
11,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648288213687241,0.6289991220368745,0.6323442637924735,0.0192890916503665,0.9135047016818852,0.9809841884137344,0.570190473760583,1.0,0.0193844221047175,0.0946851156418411,0.1450741777751029,migraine,11,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:22,12,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:22,,snps_50,True,,0.0724978050921862,0.8839656736151089,0.9809841884137344,0.9135047016818852
12,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.2271810087381754,0.8613940349821475,0.988741688302022,0.5010813168986799,1.0,0.0113865045149578,0.1609088981220135,0.1300434089078279,migraine,12,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:22,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:22,,snps_200,False,,0.2406935908691837,0.414577270340046,0.988741688302022,0.8613940349821475
13,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.2271810087381754,0.8613940349821475,0.988741688302022,0.5010813168986799,1.0,0.0113865045149578,0.1609088981220135,0.1300434089078279,migraine,13,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:24,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:24,,snps_200,True,,0.2406935908691837,0.414577270340046,0.988741688302022,0.8613940349821475
