Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm,Category
1,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9083189857463084,0.6125109745390693,0.7008298826777087,0.2958080112072391,0.9045382079019656,0.9862122156013408,0.43485387494149,1.0,0.0139805451408367,0.1055364950469626,0.1179297644274375,migraine,1,"Folds: ['0', '1', '2', '3', '4']",covariates,2025-01-20 12:50:11,152,582,covariates,migraine,migraine.gz,0,False,2025-01-20 12:50:11,,,,,0.0312774363476733,0.2522415148564702,0.9862122156013408,0.9045382079019656,Covariates
75,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,75,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:17,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:16,,snps_annotated_500,False,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408,Genotype_UW_annotated_migraine
21,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,21,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_500,False,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824,Genotype_UW_not_annotated_migraine
76,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,76,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:28,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:26,,snps_annotated_500,True,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408,Genotype_W_annotated_migraine
22,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,22,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:34,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:34,,snps_500,True,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824,Genotype_W_not_annotated_migraine
2,CatBoost,"{'iterations': 100, 'learning_rate': 0.01, 'depth': 4, 'l2_leaf_reg': 3}",0.9519914164037148,0.6069973661106234,0.6097622092315187,0.3449940502930914,0.9216755252276896,0.9813725256205648,0.4086575650826943,1.0,0.018981043276768,0.0849805301632166,0.1352526461469871,migraine,2,"Folds: ['0', '1', '2', '3', '4']",pca,2025-01-20 12:50:11,15,582,pca,migraine,migraine.gz,0,False,2025-01-20 12:50:11,10.0,,,,0.0174934152765585,0.1227463592886587,0.9813725256205648,0.9216755252276896,PCA_10.0
173,Naive Bayes,{'var_smoothing': 1e-07},0.6649399728487679,0.6427041264266901,0.5927954370153858,0.0222358464220778,0.8544965653010683,0.9720149385961968,0.5755237368174677,1.0,0.0287907729527488,0.1702797186173192,0.0532996641603139,migraine,173,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:56:39,116,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:39,,,,AnnoPred,0.1067603160667252,0.9443468641233482,0.9720149385961968,0.8544965653010683,PRS_migraine_5_AnnoPred
174,Naive Bayes,{'var_smoothing': 1e-07},0.6700131023005236,0.6383143107989465,0.5754016461657127,0.031698791501577,0.8612477759026647,0.9729976473537636,0.5700580786072257,1.0,0.0277517142201463,0.1611060463429476,0.0283433068956725,migraine,174,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:56:40,125,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:40,,,,LDAK-GWAS,0.0957857769973663,0.9202591927823336,0.9729976473537636,0.8612477759026647,PRS_migraine_5_LDAK-GWAS
86,Naive Bayes,{'var_smoothing': 1e-07},0.6649399728487679,0.6427041264266901,0.5927954370153858,0.0222358464220778,0.8544965653010683,0.9720149385961968,0.5754411630283628,1.0,0.0287907729527488,0.1702797186173192,0.0532996641603139,migraine,86,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:53:24,116,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:24,,,,AnnoPred,0.1067603160667252,0.9439339951778236,0.9720149385961968,0.8544965653010683,PRS_migraine_AnnoPred
87,Naive Bayes,{'var_smoothing': 1e-07},0.6700312943942093,0.6383143107989465,0.5754016461657127,0.0317169835952627,0.8612477759026647,0.972994618603685,0.5701383819861743,1.0,0.0277549134188117,0.1611060463429476,0.0283433068956725,migraine,87,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:53:25,125,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:25,,,,LDAK-GWAS,0.0957857769973663,0.920663738427155,0.972994618603685,0.8612477759026647,PRS_migraine_LDAK-GWAS
84,KNN,"{'n_neighbors': 7, 'metric': 'euclidean'}",1.0,0.6841220368744513,0.6144787480209475,0.3158779631255487,0.8739937576806469,1.0,0.454798104695546,1.0,0.0,0.1441729316851655,0.1184039015755783,migraine,84,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:53:23,125,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:23,,,,Plink,0.2103050921861282,0.1896916736109546,1.0,0.8739937576806469,PRS_migraine_Plink
